Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",31.000000,-24.000000,0.000000,top
"C2","10uF","C_0805_2012Metric",35.000000,-24.000000,0.000000,top
"C3","100uF","C_1206_3216Metric",84.000000,-32.000000,0.000000,top
"J1","DevKit J1","PinSocket_1x22_P2.54mm_Vertical",29.500000,-40.000000,90.000000,top
"J2","OLED SH1106","PinSocket_1x04_P2.54mm_Vertical",70.620000,-32.000000,-90.000000,top
"J3","DevKit J3","PinSocket_1x22_P2.54mm_Vertical",29.500000,-62.860000,90.000000,top
"J4","BMI160 IMU","PinSocket_1x12_P2.54mm_Vertical",54.000000,-24.000000,90.000000,top
"J5","WS2812B strip","PinSocket_1x03_P2.54mm_Vertical",79.580000,-32.000000,-90.000000,top
"J6","5DirKey V1-2","PinSocket_1x06_P2.54mm_Vertical",35.000000,-32.000000,90.000000,top
"MH1","MountingHole_2.7mm","MountingHole_2.7mm",23.500000,-23.500000,0.000000,top
"MH2","MountingHole_2.7mm","MountingHole_2.7mm",86.500000,-23.500000,0.000000,top
"MH3","MountingHole_2.7mm","MountingHole_2.7mm",23.500000,-67.000000,0.000000,top
"MH4","MountingHole_2.7mm","MountingHole_2.7mm",86.500000,-67.000000,0.000000,top
"R1","330R","R_0805_2012Metric",49.500000,-36.000000,0.000000,top
